Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_hip_link,0.001512,3E-06,0.084,0,0,0,8.004,0.106951,-2E-06,0.001062,0.09144,7E-06,0.028426,0,0,0,0,0,0,package://TH010-500 可拖拽外发模型(URDF)20260410/meshes/base_hip_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://TH010-500 可拖拽外发模型(URDF)20260410/meshes/base_hip_link.STL,,复件 base_hip_link^TH010-500 可拖拽外发模型(URDF）-1,坐标系1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_hip_pitch_link,0.007814,0.020187,-0.081484,0,0,0,2.852,0.025824,0.00059,-0.002156,0.024748,-0.005902,0.00474,0,0,0,0,0,0,package://TH010-500 可拖拽外发模型(URDF)20260410/meshes/left_hip_pitch_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://TH010-500 可拖拽外发模型(URDF)20260410/meshes/left_hip_pitch_link.STL,,复件 left_hip_pitch_link^TH010-500 可拖拽外发模型(URDF）-1,坐标系2,基准轴2,left_hip_pitch_joint,revolute,0.0021,0.11845,0.025261,-0.2618,0,0,base_hip_link,0,-1,0,240,5.55,-2.094,1.4486,,,,,,,,
left_hip_roll_link,-0.001319,3.4E-05,-0.096883,0,0,0,3.047,0.035687,6E-06,0.000702,0.037161,-3E-06,0.005154,0,0,0,0,0,0,package://TH010-500 可拖拽外发模型(URDF)20260410/meshes/left_hip_roll_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://TH010-500 可拖拽外发模型(URDF)20260410/meshes/left_hip_roll_link.STL,,复件 left_hip_roll_link^TH010-500 可拖拽外发模型(URDF）-2,坐标系4,基准轴4,left_hip_roll_joint,revolute,0,0.025455,-0.095,0.2618,0,0,left_hip_pitch_link,1,0,0,240,5.55,-1.222,1.536,,,,,,,,
left_hip_yaw_link,0.004891,-0.004006,-0.166637,0,0,0,3.408,0.113545,-0.000139,-0.002182,0.113562,0.002716,0.004011,0,0,0,0,0,0,package://TH010-500 可拖拽外发模型(URDF)20260410/meshes/left_hip_yaw_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://TH010-500 可拖拽外发模型(URDF)20260410/meshes/left_hip_yaw_link.STL,,复件 left_hip_yaw_link^TH010-500 可拖拽外发模型(URDF）-1,坐标系6,基准轴6,left_hip_yaw_joint,revolute,0,0,-0.1385,0,0,0,left_hip_roll_link,0,0,1,240,5.55,-0.8378,0.8378,,,,,,,,
left_knee_link,-0.013728,-0.001138,-0.163269,0,0,0,4.461,0.155892,0.000209,0.011979,0.156556,-0.000616,0.006813,0,0,0,0,0,0,package://TH010-500 可拖拽外发模型(URDF)20260410/meshes/left_knee_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://TH010-500 可拖拽外发模型(URDF)20260410/meshes/left_knee_link.STL,,复件 left_knee_link^TH010-500 可拖拽外发模型(URDF）-1,坐标系8,基准轴8,left_knee_joint,revolute,0,0,-0.21,0,0,0,left_hip_yaw_link,0,-1,0,104,10.47,-0.0873,2.0944,,,,,,,,
left_ankle_pitch_link,0,0,0.001331,0,0,0,0.239,6E-05,0,0,6E-05,0,9.8E-05,0,0,0,0,0,0,package://TH010-500 可拖拽外发模型(URDF)20260410/meshes/left_ankle_pitch_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://TH010-500 可拖拽外发模型(URDF)20260410/meshes/left_ankle_pitch_link.STL,,复件 left_ankle_pitch_link^TH010-500 可拖拽外发模型(URDF）-2,坐标系10,基准轴10,left_ankle_pitch_joint,revolute,0,0,-0.39,0,0,0,left_knee_link,0,-1,0,104,10.47,-0.65,0.42,,,,,,,,
left_ankle_roll_link,0.011512,0,-0.038293,0,0,0,1.153,0.002691,0,0.000891,0.006858,0,0.005565,0,0,0,0,0,0,package://TH010-500 可拖拽外发模型(URDF)20260410/meshes/left_ankle_roll_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://TH010-500 可拖拽外发模型(URDF)20260410/meshes/left_ankle_roll_link.STL,,复件 left_ankle_roll_link^TH010-500 可拖拽外发模型(URDF）-2,坐标系10,基准轴12,left_ankle_roll_joint,revolute,0,0,0,0,0,0,left_ankle_pitch_link,1,0,0,104,10.47,-0.1,0.1,,,,,,,,
right_hip_pitch_link,0.007826,-0.020207,-0.081455,0,0,0,2.849,0.025787,-0.000591,-0.002159,0.024711,0.005902,0.004741,0,0,0,0,0,0,package://TH010-500 可拖拽外发模型(URDF)20260410/meshes/right_hip_pitch_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://TH010-500 可拖拽外发模型(URDF)20260410/meshes/right_hip_pitch_link.STL,,复件 right_hip_pitch_link^TH010-500 可拖拽外发模型(URDF）-1,坐标系3,基准轴3,right_hip_pitch_joint,revolute,0.0021,-0.11845,0.025261,0.2618,0,0,base_hip_link,0,-1,0,240,5.55,-2.094,1.4486,,,,,,,,
right_hip_roll_link,-0.001319,-2.8E-05,-0.096883,0,0,0,3.047,0.035687,-7E-06,0.000702,0.037161,0,0.005154,0,0,0,0,0,0,package://TH010-500 可拖拽外发模型(URDF)20260410/meshes/right_hip_roll_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://TH010-500 可拖拽外发模型(URDF)20260410/meshes/right_hip_roll_link.STL,,复件 right_hip_roll_link^TH010-500 可拖拽外发模型(URDF）-1,坐标系5,基准轴5,right_hip_roll_joint,revolute,0,-0.025455,-0.095,-0.2618,0,0,right_hip_pitch_link,1,0,0,240,5.55,-1.222,1.536,,,,,,,,
right_hip_yaw_link,0.004904,0.004006,-0.16665,0,0,0,3.408,0.11358,0.00014,-0.00219,0.11359,-0.002717,0.004009,0,0,0,0,0,0,package://TH010-500 可拖拽外发模型(URDF)20260410/meshes/right_hip_yaw_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://TH010-500 可拖拽外发模型(URDF)20260410/meshes/right_hip_yaw_link.STL,,复件 right_hip_yaw_link^TH010-500 可拖拽外发模型(URDF）-1,坐标系7,基准轴7,right_hip_yaw_joint,revolute,0,0,-0.1385,0,0,0,right_hip_roll_link,0,0,1,240,5.55,-0.8378,0.8378,,,,,,,,
